"timestamp","payload"
"18717","{""internal_temperature"":{""N"":""32.29000092""},""pressure"":{""N"":""974.604248""},""external_temperature"":{""N"":""31.25""},""timestamp"":{""N"":""18717""}}"
"127769","{""internal_temperature"":{""N"":""29.93000031""},""pressure"":{""N"":""973.3568726""},""external_temperature"":{""N"":""29.4375""},""timestamp"":{""N"":""127769""}}"
"845649","{""internal_temperature"":{""N"":""31.12000084""},""pressure"":{""N"":""973.4199829""},""external_temperature"":{""N"":""30.6875""},""timestamp"":{""N"":""845649""}}"
"94756","{""internal_temperature"":{""N"":""32.06999969""},""pressure"":{""N"":""974.3451538""},""external_temperature"":{""N"":""31.3125""},""timestamp"":{""N"":""94756""}}"
"272182","{""internal_temperature"":{""N"":""32.38999939""},""pressure"":{""N"":""974.1269531""},""external_temperature"":{""N"":""31.25""},""timestamp"":{""N"":""272182""}}"
"231690","{""internal_temperature"":{""N"":""32.25""},""pressure"":{""N"":""973.9865723""},""external_temperature"":{""N"":""31.3125""},""timestamp"":{""N"":""231690""}}"
"494674","{""internal_temperature"":{""N"":""31.46999931""},""pressure"":{""N"":""973.354248""},""external_temperature"":{""N"":""30.3125""},""timestamp"":{""N"":""494674""}}"
"11030","{""internal_temperature"":{""N"":""30.37000084""},""pressure"":{""N"":""973.4249878""},""external_temperature"":{""N"":""30.1875""},""timestamp"":{""N"":""11030""}}"
"91146","{""internal_temperature"":{""N"":""30.71999931""},""pressure"":{""N"":""973.3990479""},""external_temperature"":{""N"":""30.6875""},""timestamp"":{""N"":""91146""}}"
"436142","{""internal_temperature"":{""N"":""32.41999817""},""pressure"":{""N"":""974.0493774""},""external_temperature"":{""N"":""30.9375""},""timestamp"":{""N"":""436142""}}"
"18549","{""internal_temperature"":{""N"":""32.70999908""},""pressure"":{""N"":""971.4090576""},""external_temperature"":{""N"":""31.625""},""timestamp"":{""N"":""18549""}}"
"128806","{""internal_temperature"":{""N"":""31.48999977""},""pressure"":{""N"":""973.4659424""},""external_temperature"":{""N"":""30.125""},""timestamp"":{""N"":""128806""}}"
"96647","{""internal_temperature"":{""N"":""32.29999924""},""pressure"":{""N"":""974.1461792""},""external_temperature"":{""N"":""31.3125""},""timestamp"":{""N"":""96647""}}"
"42646","{""internal_temperature"":{""N"":""32.5""},""pressure"":{""N"":""971.4677124""},""external_temperature"":{""N"":""33.1875""},""timestamp"":{""N"":""42646""}}"
"167051","{""internal_temperature"":{""N"":""30.79999924""},""pressure"":{""N"":""973.3770142""},""external_temperature"":{""N"":""30.75""},""timestamp"":{""N"":""167051""}}"
"147695","{""internal_temperature"":{""N"":""32.31999969""},""pressure"":{""N"":""974.2335815""},""external_temperature"":{""N"":""31.1875""},""timestamp"":{""N"":""147695""}}"
"221063","{""internal_temperature"":{""N"":""32.25""},""pressure"":{""N"":""974.0014038""},""external_temperature"":{""N"":""31.3125""},""timestamp"":{""N"":""221063""}}"
"620964","{""internal_temperature"":{""N"":""31.04999924""},""pressure"":{""N"":""973.4494629""},""external_temperature"":{""N"":""30.5625""},""timestamp"":{""N"":""620964""}}"
"207400","{""internal_temperature"":{""N"":""32.25999832""},""pressure"":{""N"":""973.9920044""},""external_temperature"":{""N"":""31.3125""},""timestamp"":{""N"":""207400""}}"
"155484","{""internal_temperature"":{""N"":""32.16999817""},""pressure"":{""N"":""974.3654785""},""external_temperature"":{""N"":""31.375""},""timestamp"":{""N"":""155484""}}"
"60213","{""internal_temperature"":{""N"":""32.31000137""},""pressure"":{""N"":""974.1384277""},""external_temperature"":{""N"":""31.3125""},""timestamp"":{""N"":""60213""}}"
"67455","{""internal_temperature"":{""N"":""30.37000084""},""pressure"":{""N"":""973.3954468""},""external_temperature"":{""N"":""30.125""},""timestamp"":{""N"":""67455""}}"
"75965","{""internal_temperature"":{""N"":""30.70999908""},""pressure"":{""N"":""973.4020386""},""external_temperature"":{""N"":""30.6875""},""timestamp"":{""N"":""75965""}}"
"494960","{""internal_temperature"":{""N"":""30.98999977""},""pressure"":{""N"":""973.4539185""},""external_temperature"":{""N"":""30.75""},""timestamp"":{""N"":""494960""}}"
"96298","{""internal_temperature"":{""N"":""30.39999962""},""pressure"":{""N"":""973.3990479""},""external_temperature"":{""N"":""30.125""},""timestamp"":{""N"":""96298""}}"
"123721","{""internal_temperature"":{""N"":""30.5""},""pressure"":{""N"":""973.4520264""},""external_temperature"":{""N"":""30.3125""},""timestamp"":{""N"":""123721""}}"
"787956","{""internal_temperature"":{""N"":""31.10000038""},""pressure"":{""N"":""973.4523315""},""external_temperature"":{""N"":""30.6875""},""timestamp"":{""N"":""787956""}}"
"51330","{""internal_temperature"":{""N"":""30.62000084""},""pressure"":{""N"":""973.4645996""},""external_temperature"":{""N"":""30.5""},""timestamp"":{""N"":""51330""}}"
"668026","{""internal_temperature"":{""N"":""31.06999969""},""pressure"":{""N"":""973.4373169""},""external_temperature"":{""N"":""30.6875""},""timestamp"":{""N"":""668026""}}"
"133840","{""internal_temperature"":{""N"":""29.94000053""},""pressure"":{""N"":""973.3287354""},""external_temperature"":{""N"":""29.4375""},""timestamp"":{""N"":""133840""}}"
"17133","{""internal_temperature"":{""N"":""32.13999939""},""pressure"":{""N"":""974.2380371""},""external_temperature"":{""N"":""31.25""},""timestamp"":{""N"":""17133""}}"
"1006571","{""internal_temperature"":{""N"":""31.18000031""},""pressure"":{""N"":""973.407959""},""external_temperature"":{""N"":""30.875""},""timestamp"":{""N"":""1006571""}}"
"807691","{""internal_temperature"":{""N"":""31.11000061""},""pressure"":{""N"":""973.4171753""},""external_temperature"":{""N"":""30.6875""},""timestamp"":{""N"":""807691""}}"
"39906","{""internal_temperature"":{""N"":""32.18999863""},""pressure"":{""N"":""974.2645264""},""external_temperature"":{""N"":""31.1875""},""timestamp"":{""N"":""39906""}}"
"661954","{""internal_temperature"":{""N"":""31.06999969""},""pressure"":{""N"":""973.4268799""},""external_temperature"":{""N"":""30.625""},""timestamp"":{""N"":""661954""}}"
"763386","{""internal_temperature"":{""N"":""31.46999931""},""pressure"":{""N"":""973.3331299""},""external_temperature"":{""N"":""30.1875""},""timestamp"":{""N"":""763386""}}"
"598584","{""internal_temperature"":{""N"":""32.38999939""},""pressure"":{""N"":""974.0178833""},""external_temperature"":{""N"":""30.5625""},""timestamp"":{""N"":""598584""}}"
"1266164","{""internal_temperature"":{""N"":""31.22999954""},""pressure"":{""N"":""973.2873535""},""external_temperature"":{""N"":""30.75""},""timestamp"":{""N"":""1266164""}}"
"52273","{""internal_temperature"":{""N"":""30.37000084""},""pressure"":{""N"":""973.4342041""},""external_temperature"":{""N"":""30.0625""},""timestamp"":{""N"":""52273""}}"
"733023","{""internal_temperature"":{""N"":""31.46999931""},""pressure"":{""N"":""973.3640747""},""external_temperature"":{""N"":""30.1875""},""timestamp"":{""N"":""733023""}}"
"368960","{""internal_temperature"":{""N"":""30.92000008""},""pressure"":{""N"":""973.4486084""},""external_temperature"":{""N"":""30.75""},""timestamp"":{""N"":""368960""}}"
"77483","{""internal_temperature"":{""N"":""30.70999908""},""pressure"":{""N"":""973.4074707""},""external_temperature"":{""N"":""30.6875""},""timestamp"":{""N"":""77483""}}"
"362888","{""internal_temperature"":{""N"":""30.92000008""},""pressure"":{""N"":""973.4076538""},""external_temperature"":{""N"":""30.75""},""timestamp"":{""N"":""362888""}}"
"563667","{""internal_temperature"":{""N"":""32.40999985""},""pressure"":{""N"":""974.053894""},""external_temperature"":{""N"":""30.625""},""timestamp"":{""N"":""563667""}}"
"197121","{""internal_temperature"":{""N"":""31.5""},""pressure"":{""N"":""973.4395142""},""external_temperature"":{""N"":""30.1875""},""timestamp"":{""N"":""197121""}}"
"430070","{""internal_temperature"":{""N"":""32.41999817""},""pressure"":{""N"":""974.038269""},""external_temperature"":{""N"":""31""},""timestamp"":{""N"":""430070""}}"
"594030","{""internal_temperature"":{""N"":""32.38999939""},""pressure"":{""N"":""974.0175171""},""external_temperature"":{""N"":""30.625""},""timestamp"":{""N"":""594030""}}"
"519247","{""internal_temperature"":{""N"":""31""},""pressure"":{""N"":""973.4628296""},""external_temperature"":{""N"":""30.8125""},""timestamp"":{""N"":""519247""}}"
"18761","{""internal_temperature"":{""N"":""32.77000046""},""pressure"":{""N"":""975.1732178""},""external_temperature"":{""N"":""31.3125""},""timestamp"":{""N"":""18761""}}"
"1024787","{""internal_temperature"":{""N"":""31.04999924""},""pressure"":{""N"":""973.2620239""},""external_temperature"":{""N"":""30.875""},""timestamp"":{""N"":""1024787""}}"
"443734","{""internal_temperature"":{""N"":""32.41999817""},""pressure"":{""N"":""974.0267334""},""external_temperature"":{""N"":""30.9375""},""timestamp"":{""N"":""443734""}}"
"46175","{""internal_temperature"":{""N"":""32.00999832""},""pressure"":{""N"":""974.303894""},""external_temperature"":{""N"":""31.25""},""timestamp"":{""N"":""46175""}}"
"800101","{""internal_temperature"":{""N"":""31.11000061""},""pressure"":{""N"":""973.4523315""},""external_temperature"":{""N"":""30.6875""},""timestamp"":{""N"":""800101""}}"
